3.160594	4.44889	1.159033	4.395466	1.781525	1.834918	
0.4769998	1.301591	0.7632505	0.8576887	0.4343779	0.7152711	
3.190889	2.397045	2.668502	3.242998	3.459047	2.385314	
2.696517	3.591288	1.266582	1.759713	3.4754	2.256375	
1.338066	0.3750317	2.173225	3.920738	3.472659	1.357718	
0.7481192	1.383601	0.08699068	0.5038565	0.9173578	0.3076769	
1.41634	4.79964	5.648947	0.4483624	6.021096	5.502264	
4.395319	2.715395	3.060294	0.1755071	3.71053	0.5927078	
4.395319	2.715395	3.060294	0.1755071	3.71053	0.5927078	
2.71123	2.673363	0.7714464	2.164941	3.069321	0.4800537	
2.695056	2.687943	3.048776	5.15562	1.839442	1.299749	
0.6762902	0.5051395	0.3685618	0.2391889	1.092909	0.7863918	
3.519475	3.920019	4.977142	3.103821	4.466676	4.923125	
6.041377	5.520293	4.760776	3.85316	0.9427978	3.265197	
4.705574	2.666876	1.528277	3.137464	1.914766	0.1879207	
3.263873	2.882234	5.556351	0.7895802	2.494656	1.746651	
4.135451	4.57257	6.250474	0.9001681	4.397323	1.299934	
2.720935	2.703196	2.117742	6.158407	2.724481	1.277292	
Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	
7.881139E+35	1.310304E+36	1.061156E+36	1.020893E+36	7.661725E+35	1.069603E+36	
Infinity	Infinity	Infinity	Infinity	Infinity	Infinity	
0.6643465	0.7555205	1.094714	0.8129988	0.1650039	0.5883183	
1.206163	0.697141	0.2220134	1.136028	1.120289	1.085743	
0.8867459	1.167111	1.070852	0.2201791	0.4168766	0.9260626	
0.5300313	0.5540802	0.4085867	1.54723	1.187706	0.5481797	
0.1519507	1.908842	0.8886996	0.3693005	1.813903	1.1987	
0.2822598	0.7146176	0.07881005	0.06840729	1.165506	0.07178895	
2.389585	0.6508518	1.162069	3.135216	0.4773759	2.959882	
1.104761	2.771975	3.646313	2.263093	1.028015	2.609704	
4.37051	1.143378	1.285644	2.371481	1.405723	4.099558	
3.348191	0.2309951	1.206896	0.9672613	0.6710385	3.269624	
0.2595858	0.01609737	0.1473614	0.5898028	1.022237	0.5604963	
0.3669367	2.52366	0.6464874	1.920125	0.606438	2.253762	
0.8816227	0.2956624	0.4400152	1.246801	0.3830552	0.3891583	
2.916067	2.540942	2.524146	2.533669	0.03302818	0.5145084	
0.5664006	1.922325	0.5674329	1.396774	0.1243359	1.347383	
0.28241	0.3258069	0.4709634	1.286795	1.463252	0.1033977	
1.138051	1.038463	0.2282605	0.2482643	0.9829012	0.0756514	
1.240526	0.3632733	0.09961811	0.8802335	1.842404	0.6037313	
0.3183646	1.157032	0.9414545	1.04705	0.3804107	0.3224226	
0.8108501	2.752905	2.421541	0.5478816	1.508864	1.431991	
