24.09235	100	12.92457	51.11087	26.43663	57.57314	
45.83422	100	28.78657	34.0739	30.54901	36.42377	
37.60758	31.72399	65.21041	28.78659	100	32.31142	
37.01999	100	39.94872	39.36124	30.54901	25.84917	
14.69046	25.26169	18.21191	100	24.08673	33.48641	
25.8552	100	39.36127	35.24886	25.84916	33.48637	
37.60758	0	0	51.69833	100	0	
100	23.4992	32.31142	29.96157	24.08673	49.34842	
100	23.4992	32.31142	29.96157	24.08673	49.34842	
19.39141	21.14931	48.17341	35.24888	100	39.9487	
35.2571	39.3612	22.32424	100	37.59877	30.54898	
19.39142	29.37406	35.24886	32.89891	100	48.76091	
0	0	100	0	0	0	
100	0	0	0	0	0	
100	0	0	0	0	0	
0	0	100	0	0	0	
0	0	100	0	0	0	
0	0	0	100	0	0	
100	0	0	0	0	0	
0	100	0	0	0	0	
0	100	0	0	0	0	
0	0	100	0	0	0	
100	0	0	0	0	0	
0	100	0	0	0	0	
0	0	0	100	0	0	
0	100	0	0	0	0	
0	0	0	0	100	0	
0	0	0	100	0	0	
0	0	100	0	0	0	
100	0	0	0	0	0	
100	0	0	0	0	0	
0	0	0	0	100	0	
0	100	0	0	0	0	
0	0	0	100	0	0	
100	0	0	0	0	0	
0	100	0	0	0	0	
0	0	0	0	100	0	
100	0	0	0	0	0	
0	0	0	0	100	0	
0	100	0	0	0	0	
0	100	0	0	0	0	
